lad22cd,lad22nm,age_common,value_21,value_11,value_01
E09000001,City of London,Aged 0 to 4,175,195,359
E09000001,City of London,Aged 10 to 15,100,97,163
E09000001,City of London,Aged 16 to 18,57,31,72
E09000001,City of London,Aged 5 to 9,101,109,195
E09000002,Barking and Dagenham,Aged 0 to 4,13788,14311,18087
E09000002,Barking and Dagenham,Aged 10 to 15,8119,5993,10505
E09000002,Barking and Dagenham,Aged 16 to 18,2731,2348,3466
E09000002,Barking and Dagenham,Aged 5 to 9,9081,6294,10584
E09000003,Barnet,Aged 0 to 4,19183,19963,31147
E09000003,Barnet,Aged 10 to 15,12997,10943,19794
E09000003,Barnet,Aged 16 to 18,4877,4563,8621
E09000003,Barnet,Aged 5 to 9,12594,10059,18593
E09000004,Bexley,Aged 0 to 4,12252,12053,20792
E09000004,Bexley,Aged 10 to 15,8666,8403,15287
E09000004,Bexley,Aged 16 to 18,3082,3206,5125
E09000004,Bexley,Aged 5 to 9,8591,7026,14042
E09000005,Brent,Aged 0 to 4,15689,17180,26217
E09000005,Brent,Aged 10 to 15,10381,8577,17986
E09000005,Brent,Aged 16 to 18,4243,3694,8008
E09000005,Brent,Aged 5 to 9,9958,8461,15743
E09000006,Bromley,Aged 0 to 4,15955,15848,27960
E09000006,Bromley,Aged 10 to 15,11765,10556,19143
E09000006,Bromley,Aged 16 to 18,4335,3955,7017
E09000006,Bromley,Aged 5 to 9,11274,9392,16512
E09000007,Camden,Aged 0 to 4,8126,10355,17122
E09000007,Camden,Aged 10 to 15,5579,4577,8308
E09000007,Camden,Aged 16 to 18,2209,1764,3606
E09000007,Camden,Aged 5 to 9,5230,4866,8210
E09000008,Croydon,Aged 0 to 4,20399,22233,33644
E09000008,Croydon,Aged 10 to 15,13249,12491,22253
E09000008,Croydon,Aged 16 to 18,5009,4697,7559
E09000008,Croydon,Aged 5 to 9,13186,11639,20952
E09000009,Ealing,Aged 0 to 4,17195,19507,30638
E09000009,Ealing,Aged 10 to 15,12331,9289,19617
E09000009,Ealing,Aged 16 to 18,4619,3822,8206
E09000009,Ealing,Aged 5 to 9,11645,9419,17292
E09000010,Enfield,Aged 0 to 4,17014,19042,27812
E09000010,Enfield,Aged 10 to 15,12118,10447,18181
E09000010,Enfield,Aged 16 to 18,4600,4367,7477
E09000010,Enfield,Aged 5 to 9,11808,10207,17627
E09000011,Greenwich,Aged 0 to 4,15268,16241,21864
E09000011,Greenwich,Aged 10 to 15,8931,7581,12969
E09000011,Greenwich,Aged 16 to 18,3030,2702,4075
E09000011,Greenwich,Aged 5 to 9,9703,7465,12057
E09000012,Hackney,Aged 0 to 4,12262,14279,23827
E09000012,Hackney,Aged 10 to 15,7092,6121,10709
E09000012,Hackney,Aged 16 to 18,2665,2166,3938
E09000012,Hackney,Aged 5 to 9,6926,6540,10480
E09000013,Hammersmith and Fulham,Aged 0 to 4,7308,9083,14466
E09000013,Hammersmith and Fulham,Aged 10 to 15,4867,4004,6590
E09000013,Hammersmith and Fulham,Aged 16 to 18,1812,1498,2468
E09000013,Hammersmith and Fulham,Aged 5 to 9,4613,3894,6913
E09000014,Haringey,Aged 0 to 4,11997,14240,21461
E09000014,Haringey,Aged 10 to 15,8430,7399,12375
E09000014,Haringey,Aged 16 to 18,3276,2643,4229
E09000014,Haringey,Aged 5 to 9,7707,7714,11771
E09000015,Harrow,Aged 0 to 4,12327,12435,19498
E09000015,Harrow,Aged 10 to 15,8421,7780,15652
E09000015,Harrow,Aged 16 to 18,3371,3493,6747
E09000015,Harrow,Aged 5 to 9,8282,6962,12763
E09000016,Havering,Aged 0 to 4,13414,10981,19222
E09000016,Havering,Aged 10 to 15,8409,8165,15328
E09000016,Havering,Aged 16 to 18,3244,3235,5599
E09000016,Havering,Aged 5 to 9,8704,6861,13970
E09000017,Hillingdon,Aged 0 to 4,15934,15330,24622
E09000017,Hillingdon,Aged 10 to 15,9976,8814,15897
E09000017,Hillingdon,Aged 16 to 18,3723,3564,5640
E09000017,Hillingdon,Aged 5 to 9,10608,8187,15041
E09000018,Hounslow,Aged 0 to 4,14765,15539,22350
E09000018,Hounslow,Aged 10 to 15,9600,7434,13927
E09000018,Hounslow,Aged 16 to 18,3400,2835,5657
E09000018,Hounslow,Aged 5 to 9,10072,6955,12139
E09000019,Islington,Aged 0 to 4,9048,9651,15650
E09000019,Islington,Aged 10 to 15,5103,4859,7973
E09000019,Islington,Aged 16 to 18,1889,1717,2912
E09000019,Islington,Aged 5 to 9,5243,4723,8099
E09000020,Kensington and Chelsea,Aged 0 to 4,4810,7053,14216
E09000020,Kensington and Chelsea,Aged 10 to 15,3732,3393,6139
E09000020,Kensington and Chelsea,Aged 16 to 18,1668,1238,2376
E09000020,Kensington and Chelsea,Aged 5 to 9,3483,3616,6468
E09000021,Kingston upon Thames,Aged 0 to 4,7779,8610,14143
E09000021,Kingston upon Thames,Aged 10 to 15,5901,4749,8959
E09000021,Kingston upon Thames,Aged 16 to 18,2187,1841,3625
E09000021,Kingston upon Thames,Aged 5 to 9,5804,4490,7952
E09000022,Lambeth,Aged 0 to 4,12456,16340,25929
E09000022,Lambeth,Aged 10 to 15,8363,7635,12683
E09000022,Lambeth,Aged 16 to 18,3117,2804,4169
E09000022,Lambeth,Aged 5 to 9,8004,8082,13130
E09000023,Lewisham,Aged 0 to 4,15605,17298,26467
E09000023,Lewisham,Aged 10 to 15,9039,8368,13916
E09000023,Lewisham,Aged 16 to 18,3413,2995,4932
E09000023,Lewisham,Aged 5 to 9,9458,8262,14526
E09000024,Merton,Aged 0 to 4,10845,11509,19611
E09000024,Merton,Aged 10 to 15,7047,5679,10930
E09000024,Merton,Aged 16 to 18,2532,2284,4205
E09000024,Merton,Aged 5 to 9,7061,5422,10069
E09000025,Newham,Aged 0 to 4,19013,19431,31128
E09000025,Newham,Aged 10 to 15,10361,8324,16465
E09000025,Newham,Aged 16 to 18,3755,3222,5900
E09000025,Newham,Aged 5 to 9,11425,8854,15564
E09000026,Redbridge,Aged 0 to 4,16974,16942,24943
E09000026,Redbridge,Aged 10 to 15,10361,8826,16632
E09000026,Redbridge,Aged 16 to 18,4104,3683,6951
E09000026,Redbridge,Aged 5 to 9,10734,8725,14934
E09000027,Richmond upon Thames,Aged 0 to 4,8922,10793,17834
E09000027,Richmond upon Thames,Aged 10 to 15,7549,5437,9429
E09000027,Richmond upon Thames,Aged 16 to 18,2602,1966,3676
E09000027,Richmond upon Thames,Aged 5 to 9,7164,5457,8740
E09000028,Southwark,Aged 0 to 4,13201,16341,25748
E09000028,Southwark,Aged 10 to 15,8402,7369,11991
E09000028,Southwark,Aged 16 to 18,3071,2618,4004
E09000028,Southwark,Aged 5 to 9,8371,7726,12870
E09000029,Sutton,Aged 0 to 4,10592,10285,17776
E09000029,Sutton,Aged 10 to 15,7819,6714,11615
E09000029,Sutton,Aged 16 to 18,2842,2664,4211
E09000029,Sutton,Aged 5 to 9,7808,5700,11036
E09000030,Tower Hamlets,Aged 0 to 4,15223,14669,23729
E09000030,Tower Hamlets,Aged 10 to 15,6919,4675,10703
E09000030,Tower Hamlets,Aged 16 to 18,2322,1603,2848
E09000030,Tower Hamlets,Aged 5 to 9,8355,5981,9805
E09000031,Waltham Forest,Aged 0 to 4,15217,16122,23295
E09000031,Waltham Forest,Aged 10 to 15,8355,7140,13449
E09000031,Waltham Forest,Aged 16 to 18,3218,2939,4835
E09000031,Waltham Forest,Aged 5 to 9,8956,7469,12814
E09000032,Wandsworth,Aged 0 to 4,14831,16474,24461
E09000032,Wandsworth,Aged 10 to 15,8053,6257,9913
E09000032,Wandsworth,Aged 16 to 18,2823,2292,3948
E09000032,Wandsworth,Aged 5 to 9,8603,6642,10825
E09000033,Westminster,Aged 0 to 4,6888,9806,13855
E09000033,Westminster,Aged 10 to 15,4840,4087,6233
E09000033,Westminster,Aged 16 to 18,2152,1700,2754
E09000033,Westminster,Aged 5 to 9,4283,4530,6302
