lad22cd,dependent_children,ten_common,value_21,value_11,value_01
E09000001,No dependent children in household,Owned,1647,1677,403
E09000001,No dependent children in household,Private rented or lives rent free,2269,1700,309
E09000001,No dependent children in household,Social rented,579,576,122
E09000002,No dependent children in household,Owned,20181,21382,11520
E09000002,No dependent children in household,Private rented or lives rent free,7151,5767,735
E09000002,No dependent children in household,Social rented,12830,13586,4028
E09000003,No dependent children in household,Owned,56013,55117,21589
E09000003,No dependent children in household,Private rented or lives rent free,30216,23558,4870
E09000003,No dependent children in household,Social rented,13019,11713,2665
E09000004,No dependent children in household,Owned,46701,47179,21558
E09000004,No dependent children in household,Private rented or lives rent free,7602,6270,1272
E09000004,No dependent children in household,Social rented,8429,8467,1708
E09000005,No dependent children in household,Owned,34751,34582,14637
E09000005,No dependent children in household,Private rented or lives rent free,25396,21663,3855
E09000005,No dependent children in household,Social rented,18184,16129,3320
E09000006,No dependent children in household,Owned,66000,66795,27968
E09000006,No dependent children in household,Private rented or lives rent free,14672,12611,2981
E09000006,No dependent children in household,Social rented,11858,11705,2492
E09000007,No dependent children in household,Owned,21701,25288,7363
E09000007,No dependent children in household,Private rented or lives rent free,28083,28697,5176
E09000007,No dependent children in household,Social rented,21828,21987,4083
E09000008,No dependent children in household,Owned,62336,61587,25634
E09000008,No dependent children in household,Private rented or lives rent free,22859,18892,3749
E09000008,No dependent children in household,Social rented,15924,13471,2739
E09000009,No dependent children in household,Owned,45474,45170,19788
E09000009,No dependent children in household,Private rented or lives rent free,27332,23033,5015
E09000009,No dependent children in household,Social rented,15134,13842,2958
E09000010,No dependent children in household,Owned,46660,49422,21305
E09000010,No dependent children in household,Private rented or lives rent free,16727,14956,2502
E09000010,No dependent children in household,Social rented,11963,11475,2634
E09000011,No dependent children in household,Owned,35664,31705,12843
E09000011,No dependent children in household,Private rented or lives rent free,19529,13931,2020
E09000011,No dependent children in household,Social rented,21914,21420,5108
E09000012,No dependent children in household,Owned,21084,19702,6582
E09000012,No dependent children in household,Private rented or lives rent free,28233,24758,2757
E09000012,No dependent children in household,Social rented,27827,28124,5390
E09000013,No dependent children in household,Owned,20458,22024,7289
E09000013,No dependent children in household,Private rented or lives rent free,24690,22554,4090
E09000013,No dependent children in household,Social rented,17522,17533,3363
E09000014,No dependent children in household,Owned,29581,29720,11312
E09000014,No dependent children in household,Private rented or lives rent free,26178,24295,4204
E09000014,No dependent children in household,Social rented,17941,15944,3610
E09000015,No dependent children in household,Owned,37918,37945,16743
E09000015,No dependent children in household,Private rented or lives rent free,13163,10342,2362
E09000015,No dependent children in household,Social rented,6165,5311,1151
E09000016,No dependent children in household,Owned,50827,52162,23188
E09000016,No dependent children in household,Private rented or lives rent free,8443,6745,1153
E09000016,No dependent children in household,Social rented,8235,9050,1923
E09000017,No dependent children in household,Owned,43539,43919,20484
E09000017,No dependent children in household,Private rented or lives rent free,14550,10634,2563
E09000017,No dependent children in household,Social rented,10955,9766,2348
E09000018,No dependent children in household,Owned,34039,34539,13988
E09000018,No dependent children in household,Private rented or lives rent free,17763,14410,2867
E09000018,No dependent children in household,Social rented,13368,13190,2995
E09000019,No dependent children in household,Owned,21100,22015,6608
E09000019,No dependent children in household,Private rented or lives rent free,27416,23833,3459
E09000019,No dependent children in household,Social rented,26740,26758,5465
E09000020,No dependent children in household,Owned,17336,23484,6552
E09000020,No dependent children in household,Private rented or lives rent free,21751,25493,5067
E09000020,No dependent children in household,Social rented,14089,14259,2759
E09000021,No dependent children in household,Owned,27546,28539,12382
E09000021,No dependent children in household,Private rented or lives rent free,11709,10631,2375
E09000021,No dependent children in household,Social rented,4678,4779,825
E09000022,No dependent children in household,Owned,36114,34197,10890
E09000022,No dependent children in household,Private rented or lives rent free,36232,32101,4907
E09000022,No dependent children in household,Social rented,30476,28858,6780
E09000023,No dependent children in household,Owned,38133,36126,14612
E09000023,No dependent children in household,Private rented or lives rent free,24021,20752,3666
E09000023,No dependent children in household,Social rented,22734,22290,5458
E09000024,No dependent children in household,Owned,32166,33262,15117
E09000024,No dependent children in household,Private rented or lives rent free,15057,14078,3120
E09000024,No dependent children in household,Social rented,7010,6523,1418
E09000025,No dependent children in household,Owned,26160,22764,8935
E09000025,No dependent children in household,Private rented or lives rent free,25806,21227,2486
E09000025,No dependent children in household,Social rented,19002,17697,3993
E09000026,No dependent children in household,Owned,39269,41716,19135
E09000026,No dependent children in household,Private rented or lives rent free,15170,12497,2432
E09000026,No dependent children in household,Social rented,7103,6716,1220
E09000027,No dependent children in household,Owned,34382,35339,14112
E09000027,No dependent children in household,Private rented or lives rent free,13105,13590,3604
E09000027,No dependent children in household,Social rented,7002,7253,1390
E09000028,No dependent children in household,Owned,31237,28406,9328
E09000028,No dependent children in household,Private rented or lives rent free,32457,24839,3465
E09000028,No dependent children in household,Social rented,34092,33123,8343
E09000029,No dependent children in household,Owned,36616,37228,16131
E09000029,No dependent children in household,Private rented or lives rent free,9279,8208,1777
E09000029,No dependent children in household,Social rented,7444,7375,1554
E09000030,No dependent children in household,Owned,24875,21718,6181
E09000030,No dependent children in household,Private rented or lives rent free,39207,29303,3436
E09000030,No dependent children in household,Social rented,23597,23308,5278
E09000031,No dependent children in household,Owned,35818,34445,14283
E09000031,No dependent children in household,Private rented or lives rent free,18137,15805,2863
E09000031,No dependent children in household,Social rented,13202,12941,3227
E09000032,No dependent children in household,Owned,44488,45972,15783
E09000032,No dependent children in household,Private rented or lives rent free,40996,35008,6264
E09000032,No dependent children in household,Social rented,17629,17848,3517
E09000033,No dependent children in household,Owned,22034,28109,7498
E09000033,No dependent children in household,Private rented or lives rent free,35316,38240,6909
E09000033,No dependent children in household,Social rented,19289,19300,3345
