inner_outer,hhcomp_common,nssec_common,value_21,value_11,value_01
Inner,Couple with no dependent children,"1. Higher managerial, administrative and professional occupations",100464,63842,46451
Inner,Couple with no dependent children,"2. Lower managerial, administrative and professional occupations",75683,78299,58747
Inner,Couple with no dependent children,3. Intermediate occupations,17110,19468,14267
Inner,Couple with no dependent children,4. Small employers and own account workers,28769,23706,16059
Inner,Couple with no dependent children,5. Lower supervisory and technical occupations,10783,12166,10797
Inner,Couple with no dependent children,6. Semi-routine occupations,14483,16080,13457
Inner,Couple with no dependent children,7. Routine occupations,16479,14137,11534
Inner,Couple with no dependent children,8. Never worked and long-term unemployed,9182,5247,3908
Inner,Couple with no dependent children,L15 Full-time students,3061,2565,2038
Outer,Couple with no dependent children,"1. Higher managerial, administrative and professional occupations",99878,72437,61549
Outer,Couple with no dependent children,"2. Lower managerial, administrative and professional occupations",103307,106644,103870
Outer,Couple with no dependent children,3. Intermediate occupations,40069,46654,37405
Outer,Couple with no dependent children,4. Small employers and own account workers,61056,55116,43815
Outer,Couple with no dependent children,5. Lower supervisory and technical occupations,22455,27771,30041
Outer,Couple with no dependent children,6. Semi-routine occupations,29836,35217,30266
Outer,Couple with no dependent children,7. Routine occupations,35120,30351,27572
Outer,Couple with no dependent children,8. Never worked and long-term unemployed,14023,5956,3842
Outer,Couple with no dependent children,L15 Full-time students,2246,1844,1435
