lad22cd,lad22nm,inner_outer
E09000001,City of London,Inner
E09000002,Barking and Dagenham,Outer
E09000003,Barnet,Outer
E09000004,Bexley,Outer
E09000005,Brent,Outer
E09000006,Bromley,Outer
E09000007,Camden,Inner
E09000008,Croydon,Outer
E09000009,Ealing,Outer
E09000010,Enfield,Outer
E09000011,Greenwich,Outer
E09000012,Hackney,Inner
E09000013,Hammersmith and Fulham,Inner
E09000014,Haringey,Inner
E09000015,Harrow,Outer
E09000016,Havering,Outer
E09000017,Hillingdon,Outer
E09000018,Hounslow,Outer
E09000019,Islington,Inner
E09000020,Kensington and Chelsea,Inner
E09000021,Kingston upon Thames,Outer
E09000022,Lambeth,Inner
E09000023,Lewisham,Inner
E09000024,Merton,Outer
E09000025,Newham,Inner
E09000026,Redbridge,Outer
E09000027,Richmond upon Thames,Outer
E09000028,Southwark,Inner
E09000029,Sutton,Outer
E09000030,Tower Hamlets,Inner
E09000031,Waltham Forest,Outer
E09000032,Wandsworth,Inner
E09000033,Westminster,Inner
